run number,density,similar-wanted,step,percent-similar
3298,68,60,22,96.59291168983748
3299,68,60,30,96.15923184636928
3300,68,60,27,95.52209620649198
3301,68,60,35,96.35137814792782
3302,68,60,23,96.21631951079686
3303,68,60,32,96.39344262295081
3304,68,60,23,96.52324241260084
3305,68,62,37,98.2768308672036
3306,68,62,28,98.50194552529183
3307,68,62,30,98.17688130333592
3308,68,62,29,97.81831860071469
3310,68,62,31,98.26137917562023
3309,68,62,38,98.11356347858894
3311,68,62,35,98.07579030041234
3313,68,64,32,98.53622382805263
3312,68,62,36,98.28592955358825
3316,68,64,29,98.60206817311375
3314,68,64,34,98.09152872444011
3315,68,64,46,98.2723388445105
3317,68,64,41,98.50857568978374
3319,68,64,35,98.0739893211289
3318,68,64,34,98.18589863474845
3289,68,58,26,96.36147913782875
3320,68,64,26,98.30070188400444
3321,68,66,30,98.01616458486407
3322,68,66,36,98.27718223583462
3325,68,66,34,98.4816452046896
3324,68,66,43,97.98130841121495
3326,68,66,29,98.03038829487902
3328,68,66,30,98.40904734521756
3327,68,66,31,98.51272015655577
3329,68,68,60,99.71515043617589
3330,68,68,54,99.66936076414402
3331,68,68,57,99.51751250893496
3332,68,68,62,99.59054531918854
3333,68,68,61,99.71372338522096
3334,68,68,61,99.54412837345004
3335,68,68,43,99.43513462624742
3336,68,68,54,99.66022889842633
3337,68,70,54,99.61785652249435
3338,68,70,54,99.53703703703704
3339,68,70,52,99.62560838637215
3340,68,70,58,99.68795888399413
3341,68,70,69,99.74307212332538
3342,68,70,56,99.59736456808199
3344,68,70,53,99.62175792507205
3343,68,70,87,99.51540325372102
3345,68,72,89,99.74683544303798
3346,68,72,87,99.73861090365945
3347,68,72,93,99.8734406074851
3348,68,72,86,99.79623025980642
3323,68,66,47,98.3739837398374
3349,68,72,110,99.82844398696174
3350,68,72,80,99.87488829311886
3353,68,74,81,99.80068853053089
3351,68,72,126,99.69522519471724
3354,68,74,87,99.70196353436185
3356,68,74,95,99.79075850043591
3357,68,74,88,99.74248927038627
3355,68,74,102,99.84615384615385
3358,68,74,95,99.80862908837857
3361,70,20,6,56.96798493408662
3362,70,20,9,58.098591549295776
3363,70,20,8,57.61211644374509
3360,68,74,112,99.78712080894093
3364,70,20,8,57.986447241045504
3365,70,20,6,56.82231655548817
